,Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
3269,Two-Door Car,Extended,Offer4,Employed,Married,High School or Below,1.0,76.0,254.984946,79253.0,3034.797717
3270,Four-Door Car,Basic,Offer2,Unemployed,Divorced,Master,4.0,72.0,345.6,0.0,5329.128301
3272,Four-Door Car,Extended,Offer1,Medical Leave,Married,High School or Below,3.0,99.0,523.701824,26526.0,7644.684144
3273,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,63.0,302.4,54889.0,2539.990699
3274,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,67.0,321.6,58498.0,2570.162134
3275,Four-Door Car,Premium,Offer1,Employed,Married,College,2.0,116.0,556.8,30845.0,41103.24183
3276,Four-Door Car,Basic,Offer1,Medical Leave,Married,High School or Below,1.0,66.0,475.2,26854.0,2576.455597
3277,Two-Door Car,Extended,Offer1,Unemployed,Married,College,2.0,77.0,509.100577,0.0,8709.321889
3278,Sports Car,Basic,Offer1,Unemployed,Single,High School or Below,4.0,106.0,508.8,0.0,7413.386729
3280,Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,1.0,64.0,209.596158,55257.0,2469.56901
3281,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,8.0,65.0,156.18031,94392.0,5206.108215
3282,SUV,Basic,Offer1,Unemployed,Divorced,High School or Below,1.0,103.0,642.773149,0.0,3664.22055
3283,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,8.0,70.0,336.0,34236.0,5509.377781
3284,Sports Car,Basic,Offer1,Employed,Single,College,5.0,117.0,310.651386,55542.0,9206.429641
3286,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,3.0,61.0,239.540223,73769.0,4838.208972
3287,Four-Door Car,Basic,Offer1,Employed,Single,Master,3.0,69.0,107.985836,74960.0,5507.155471
3288,Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,7.0,78.0,374.4,52018.0,5971.313496
3289,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,3.0,67.0,251.795869,65978.0,5394.703229
3290,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,63.0,302.4,84495.0,2542.06388
3291,Four-Door Car,Extended,Offer2,Unemployed,Single,Bachelor,1.0,87.0,760.428495,0.0,3189.66703
3292,Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,8.0,72.0,463.158502,81676.0,5773.520711
3293,Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,7.0,63.0,307.080113,30735.0,5032.386371
3294,Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,3.0,98.0,99.697769,95701.0,7659.499583
3295,Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,80.0,47.061469,62815.0,3196.578455
3296,SUV,Basic,Offer3,Employed,Married,College,2.0,117.0,561.6,39018.0,14014.10119
3297,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,3.0,63.0,302.4,43460.0,5065.935608
3299,Two-Door Car,Extended,Offer1,Unemployed,Married,College,3.0,92.0,441.6,0.0,6940.972823
3300,Two-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,1.0,68.0,436.411688,0.0,2416.479564
3301,SUV,Basic,Offer1,Employed,Married,High School or Below,3.0,104.0,499.2,36881.0,8267.119555
3302,Two-Door Car,Basic,Offer1,Employed,Married,College,1.0,73.0,67.490616,96137.0,2902.151897
3303,Four-Door Car,Basic,Offer1,Employed,Divorced,Master,1.0,71.0,395.328407,91368.0,2864.544017
3304,Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,5.0,73.0,548.333667,26975.0,5809.261551
3305,Four-Door Car,Extended,Offer3,Employed,Divorced,College,3.0,99.0,475.2,43630.0,7908.669486
3306,Four-Door Car,Extended,Offer4,Retired,Married,College,1.0,96.0,666.724937,17557.0,3700.385003
3307,Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,9.0,61.0,365.312072,29809.0,4802.477033
3308,Two-Door Car,Extended,Offer2,Employed,Married,College,5.0,93.0,7.345946,70263.0,7462.926263
3310,Two-Door Car,Basic,Offer4,Employed,Married,High School or Below,1.0,71.0,50.422181,25317.0,2829.863912
3311,Two-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,8.0,65.0,731.289267,0.0,4741.808942
3312,Four-Door Car,Basic,Offer2,Employed,Married,College,5.0,74.0,199.444294,27880.0,5867.12642
3313,Four-Door Car,Basic,Offer1,Employed,Married,College,8.0,66.0,160.855921,31756.0,5237.935672
3314,Two-Door Car,Premium,Offer1,Employed,Divorced,College,1.0,109.0,344.294164,81412.0,4347.591949
3315,Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1.0,94.0,483.881752,0.0,3028.780121
3316,Four-Door Car,Basic,Offer3,Employed,Single,College,4.0,61.0,292.8,26277.0,4720.608872
3318,Four-Door Car,Basic,Offer3,Disabled,Married,Master,1.0,62.0,15.616535,22732.0,2445.844833
3319,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,71.0,407.668083,33252.0,2839.808041
3320,SUV,Premium,Offer1,Unemployed,Single,High School or Below,1.0,168.0,1476.670903,0.0,6021.842473
3322,Four-Door Car,Basic,Offer3,Employed,Married,College,1.0,74.0,97.928632,80590.0,2981.549197
3323,Four-Door Car,Extended,Offer3,Unemployed,Married,Bachelor,1.0,91.0,436.8,0.0,3382.223536
3324,SUV,Basic,Offer3,Employed,Married,College,3.0,110.0,128.645946,90125.0,8861.149536
3325,SUV,Basic,Offer1,Employed,Single,Master,5.0,112.0,561.499579,39910.0,8935.03414
3326,Four-Door Car,Extended,Offer4,Employed,Married,College,7.0,85.0,408.0,56398.0,6701.571657
3327,Two-Door Car,Extended,Offer2,Employed,Divorced,College,1.0,82.0,277.795988,68103.0,3244.816567
3328,Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,3.0,65.0,6.07744,65375.0,5214.971007
3329,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,5.0,72.0,37.28874,70717.0,5807.994569
3330,Luxury Car,Basic,Offer3,Employed,Married,High School or Below,5.0,192.0,1382.4,48115.0,15362.35442
3331,Two-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,1.0,63.0,617.201984,0.0,2195.911185
3332,SUV,Basic,Offer1,Unemployed,Single,Master,1.0,100.0,480.0,0.0,3649.708655
3334,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,73.0,350.4,94132.0,26538.57925
3336,Two-Door Car,Basic,Offer4,Employed,Married,Doctor,1.0,67.0,321.6,74592.0,2727.520769
3337,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,3.0,81.0,109.032565,89285.0,6496.197101
3339,Four-Door Car,Extended,Offer1,Unemployed,Single,College,2.0,77.0,369.6,0.0,7628.749434
3340,Four-Door Car,Basic,Offer3,Employed,Divorced,College,2.0,72.0,141.725051,71592.0,8742.05776
3341,Luxury Car,Basic,Offer2,Unemployed,Married,College,1.0,199.0,955.2,0.0,6191.402312
3342,Sports Car,Basic,Offer1,Unemployed,Single,College,3.0,108.0,777.6,0.0,7276.340609
3344,SUV,Basic,Offer1,Retired,Single,Bachelor,2.0,119.0,571.2,23909.0,21569.33731
3345,SUV,Basic,Offer2,Employed,Married,High School or Below,1.0,107.0,513.6,77265.0,4277.27009
3346,Two-Door Car,Basic,Offer2,Unemployed,Married,College,1.0,67.0,222.903462,0.0,2467.97792
3347,SUV,Extended,Offer1,Employed,Married,Bachelor,1.0,131.0,280.903779,68558.0,5313.436344
3348,Two-Door Car,Extended,Offer4,Medical Leave,Married,College,2.0,86.0,412.8,28519.0,13113.13865
3349,Sports Car,Basic,Offer2,Unemployed,Divorced,Master,6.0,108.0,518.4,0.0,8139.996817
3350,Four-Door Car,Basic,Offer4,Employed,Divorced,Doctor,1.0,67.0,52.804096,82108.0,2691.217074
3351,Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,3.0,68.0,326.4,0.0,4566.123651
3353,Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,6.0,94.0,287.149807,47406.0,7421.593541
3354,Four-Door Car,Basic,Offer1,Employed,Divorced,Master,6.0,61.0,167.889924,28264.0,4624.557568
3356,Four-Door Car,Basic,Offer1,Unemployed,Divorced,College,1.0,73.0,525.6,0.0,2557.094323
3357,Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,2.0,64.0,324.695555,0.0,7046.478698
3359,SUV,Extended,Offer1,Employed,Married,High School or Below,3.0,136.0,323.637414,58518.0,10899.30177
3360,Four-Door Car,Extended,Offer2,Employed,Single,Bachelor,2.0,82.0,206.95076,78374.0,16331.43396
3361,Four-Door Car,Basic,Offer1,Disabled,Married,College,1.0,62.0,297.6,25064.0,2357.747015
3362,Four-Door Car,Basic,Offer1,Employed,Single,College,1.0,62.0,244.269407,31617.0,2347.048112
3363,Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,1.0,65.0,455.644704,0.0,2388.949198
3365,Sports Car,Premium,Offer1,Employed,Married,Bachelor,2.0,199.0,842.000858,46268.0,23675.02939
3366,Four-Door Car,Basic,Offer4,Employed,Married,Doctor,1.0,66.0,84.218363,72450.0,2678.058299
3367,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,5.0,62.0,374.240783,52275.0,4982.681374
3368,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,63.0,173.899238,87802.0,2448.811216
3369,SUV,Premium,Offer2,Employed,Married,High School or Below,2.0,145.0,181.501424,66245.0,17367.27409
3370,Two-Door Car,Extended,Offer4,Employed,Married,College,1.0,76.0,99.382943,68205.0,3034.646997
3371,Two-Door Car,Basic,Offer4,Disabled,Married,Bachelor,2.0,68.0,76.026046,24133.0,7583.189638
3372,Four-Door Car,Extended,Offer3,Unemployed,Single,Bachelor,7.0,80.0,576.0,0.0,5272.319663
3373,Two-Door Car,Premium,Offer2,Employed,Single,High School or Below,1.0,110.0,528.0,32471.0,4220.613534
3374,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,72.0,518.4,28919.0,2846.24535
3376,Four-Door Car,Premium,Offer1,Employed,Single,High School or Below,4.0,102.0,489.6,75531.0,8054.982035
3377,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,65.0,9.51528,40864.0,2567.151468
3378,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,1.0,78.0,374.4,48056.0,3129.110699
3379,Four-Door Car,Extended,Offer3,Employed,Single,Bachelor,2.0,89.0,392.604371,61222.0,10388.55323
3380,Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,70.0,522.41314,0.0,2510.593651
3381,SUV,Basic,Offer3,Employed,Married,Bachelor,1.0,117.0,561.6,50250.0,4633.452912
3383,Two-Door Car,Premium,Offer3,Retired,Divorced,High School or Below,1.0,108.0,773.470977,19782.0,4001.519098
3384,Sports Car,Basic,Offer2,Medical Leave,Married,College,9.0,116.0,556.8,28280.0,8759.592518
3385,Four-Door Car,Basic,Offer3,Disabled,Married,High School or Below,3.0,65.0,312.0,25572.0,4893.979609
3388,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,68.0,202.938048,63401.0,2730.3538
3389,SUV,Extended,Offer1,Employed,Married,College,9.0,134.0,611.918994,45732.0,10677.25385
3390,Four-Door Car,Basic,Offer2,Employed,Married,College,9.0,74.0,73.919629,61006.0,5953.213546
3391,Luxury SUV,Premium,Offer1,Unemployed,Single,High School or Below,1.0,275.0,1980.0,0.0,9350.872287
3394,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1.0,71.0,200.38673,42297.0,2783.583044
3396,Four-Door Car,Premium,Offer3,Employed,Married,College,1.0,105.0,77.479316,42512.0,4049.807215
3397,Four-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,3.0,74.0,355.2,39188.0,5897.745369
3398,Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,4.0,92.0,4.216231,62338.0,7326.544855
3399,Four-Door Car,Basic,Offer4,Medical Leave,Married,College,3.0,71.0,340.8,21594.0,5206.761563
3400,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,3.0,86.0,175.972039,56188.0,6552.399896
3401,Two-Door Car,Premium,Offer2,Medical Leave,Divorced,College,2.0,115.0,552.0,12439.0,12624.96121
3402,SUV,Basic,Offer1,Unemployed,Married,College,3.0,104.0,638.414994,0.0,7607.001877
3405,Sports Car,Basic,Offer4,Employed,Married,High School or Below,2.0,103.0,494.4,43244.0,12231.87968
3406,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,68.0,489.6,0.0,6944.739992
3407,SUV,Basic,Offer3,Employed,Married,College,5.0,108.0,379.951464,65933.0,8675.993821
3408,Four-Door Car,Extended,Offer2,Unemployed,Married,High School or Below,3.0,88.0,539.280951,0.0,6625.472768
3409,Two-Door Car,Basic,Offer1,Medical Leave,Married,Master,2.0,65.0,56.371967,20832.0,22855.61209
3410,Four-Door Car,Extended,Offer4,Unemployed,Married,College,8.0,81.0,390.161912,0.0,5907.151868
3412,SUV,Premium,Offer1,Employed,Married,College,3.0,170.0,592.85751,39017.0,13306.18451
3413,SUV,Extended,Offer1,Medical Leave,Married,Bachelor,5.0,139.0,667.2,17269.0,10442.65139
3414,SUV,Basic,Offer1,Employed,Divorced,College,3.0,104.0,499.2,32799.0,8169.746083
3416,Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,4.0,85.0,408.0,84869.0,6883.686618
3417,Four-Door Car,Extended,Offer2,Medical Leave,Divorced,Bachelor,1.0,89.0,427.2,25236.0,3449.494119
3418,Four-Door Car,Basic,Offer4,Employed,Married,College,1.0,67.0,236.842746,38166.0,2602.24525
3419,Four-Door Car,Extended,Offer2,Unemployed,Married,Bachelor,6.0,78.0,374.4,0.0,5800.772699
3420,SUV,Basic,Offer3,Employed,Married,Bachelor,9.0,101.0,484.8,25595.0,8058.659713
3421,Four-Door Car,Basic,Offer3,Employed,Divorced,Doctor,1.0,74.0,406.439436,27907.0,2860.747385
3422,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,66.0,475.2,0.0,9904.977027
3425,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2.0,65.0,200.177163,64543.0,7824.492263
3426,SUV,Extended,Offer3,Unemployed,Married,College,6.0,134.0,643.2,0.0,9575.357152
3427,SUV,Basic,Offer2,Employed,Married,College,1.0,112.0,536.481665,70088.0,4462.445111
3428,SUV,Basic,Offer3,Employed,Single,Bachelor,2.0,100.0,480.0,22139.0,14947.9173
3429,SUV,Basic,Offer2,Employed,Single,High School or Below,1.0,100.0,25.713622,92539.0,3940.123576
3430,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,5.0,62.0,80.73124,86305.0,4984.618655
3431,Sports Car,Extended,Offer1,Employed,Single,College,2.0,137.0,192.085299,90330.0,36057.53702
3432,Luxury Car,Basic,Offer1,Unemployed,Single,Bachelor,2.0,182.0,1310.4,0.0,18361.55525
3433,SUV,Basic,Offer3,Unemployed,Married,Bachelor,1.0,104.0,748.8,0.0,3792.829528
3434,Four-Door Car,Basic,Offer4,Unemployed,Married,Master,1.0,71.0,340.8,0.0,2676.948677
3435,Four-Door Car,Basic,Offer2,Employed,Single,Master,2.0,70.0,48.304125,99241.0,22325.82746
3437,SUV,Basic,Offer3,Employed,Divorced,Master,2.0,115.0,372.175592,90279.0,13955.56961
3438,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,3.0,66.0,202.961374,32630.0,5230.092742
3439,Four-Door Car,Extended,Offer1,Unemployed,Single,College,2.0,78.0,561.6,0.0,14455.86021
3440,Four-Door Car,Extended,Offer2,Employed,Married,College,1.0,96.0,138.423414,76375.0,3838.113442
3441,Four-Door Car,Extended,Offer2,Employed,Divorced,Master,2.0,94.0,265.216633,71366.0,15162.06565
3442,Four-Door Car,Extended,Offer1,Unemployed,Married,Master,1.0,99.0,378.261483,0.0,3687.169374
3443,Two-Door Car,Extended,Offer2,Employed,Married,High School or Below,1.0,92.0,641.388616,39679.0,3652.532435
3444,SUV,Basic,Offer2,Employed,Married,High School or Below,1.0,108.0,256.893746,91775.0,4369.595738
3445,SUV,Basic,Offer3,Employed,Single,High School or Below,2.0,116.0,122.017931,62634.0,13776.74135
3446,SUV,Basic,Offer1,Employed,Single,Bachelor,2.0,108.0,244.803741,88249.0,13094.60875
3447,Two-Door Car,Extended,Offer4,Employed,Divorced,College,1.0,76.0,444.027215,77912.0,3011.766294
3449,Two-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,2.0,66.0,470.691875,0.0,6829.413399
3450,Four-Door Car,Basic,Offer3,Employed,Married,College,1.0,64.0,26.731452,69446.0,2570.190941
3451,Two-Door Car,Extended,Offer2,Employed,Single,High School or Below,7.0,83.0,398.4,34498.0,6369.262355
3452,SUV,Extended,Offer1,Disabled,Married,Bachelor,3.0,137.0,392.920864,13207.0,9939.255085
3454,Four-Door Car,Basic,Offer4,Employed,Married,College,8.0,70.0,215.728468,35011.0,5552.331515
3455,Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,1.0,71.0,340.8,0.0,2681.332102
3458,Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,5.0,72.0,61.536107,99747.0,5687.897911
3459,Four-Door Car,Extended,Offer3,Employed,Divorced,Bachelor,1.0,92.0,441.6,87485.0,3694.14876
3460,Four-Door Car,Premium,Offer2,Disabled,Divorced,Doctor,2.0,101.0,303.148399,15897.0,15363.84716
3462,Four-Door Car,Premium,Offer1,Disabled,Divorced,Bachelor,2.0,101.0,484.8,11885.0,11315.20373
3463,Four-Door Car,Basic,Offer1,Employed,Married,College,3.0,74.0,2.173552,55393.0,5903.612641
3464,SUV,Extended,Offer3,Employed,Married,Bachelor,2.0,139.0,49.566591,89030.0,16775.80883
3465,Four-Door Car,Extended,Offer3,Unemployed,Married,High School or Below,5.0,78.0,410.409376,0.0,5709.225202
3466,Sports Car,Basic,Offer1,Employed,Married,College,5.0,103.0,37.802583,96689.0,8272.330818
3467,Two-Door Car,Basic,Offer2,Disabled,Married,High School or Below,2.0,71.0,340.8,17950.0,8066.073765
3469,Two-Door Car,Basic,Offer1,Unemployed,Single,College,2.0,68.0,489.6,0.0,6826.797741
3470,Four-Door Car,Extended,Offer2,Employed,Married,Doctor,3.0,94.0,402.74168,91071.0,7648.25947
3471,Two-Door Car,Basic,Offer3,Disabled,Married,Bachelor,2.0,63.0,453.6,27627.0,14594.45235
3472,Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,7.0,61.0,292.8,50549.0,4745.181764
3474,Two-Door Car,Basic,Offer4,Disabled,Married,Doctor,2.0,67.0,68.019973,14119.0,22712.02364
3475,Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,1.0,67.0,2.028223,26094.0,2619.865336
3476,Sports Car,Extended,Offer3,Employed,Single,College,1.0,124.0,209.176923,45225.0,4787.812897
3477,Four-Door Car,Extended,Offer2,Employed,Divorced,High School or Below,8.0,98.0,470.4,35257.0,7556.24034
3481,SUV,Premium,Offer1,Employed,Married,High School or Below,9.0,162.0,1166.4,58684.0,13055.57087
3482,SUV,Basic,Offer1,Employed,Divorced,Bachelor,7.0,111.0,226.9684,34133.0,8834.322784
3483,Two-Door Car,Basic,Offer3,Medical Leave,Married,College,2.0,74.0,296.049396,16370.0,8467.267232
3484,Two-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,5.0,66.0,420.39344,0.0,4877.61238
3485,SUV,Premium,Offer3,Employed,Single,College,3.0,173.0,830.4,28919.0,13350.1209
3486,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,72.0,345.6,80714.0,2918.576189
3487,SUV,Basic,Offer2,Unemployed,Single,High School or Below,2.0,115.0,1251.042795,0.0,29297.33082
3488,Four-Door Car,Basic,Offer1,Unemployed,Married,College,6.0,70.0,469.491537,0.0,5161.789881
3489,Four-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,2.0,69.0,566.673518,0.0,20579.69157
3490,Four-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,9.0,96.0,460.8,0.0,6778.84457
3491,Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1.0,78.0,126.857228,31841.0,3102.998522
3492,Four-Door Car,Premium,Offer2,Unemployed,Single,High School or Below,2.0,113.0,813.6,0.0,12324.2654
3494,Four-Door Car,Basic,Offer2,Employed,Divorced,College,6.0,61.0,8.315904,30886.0,4754.653816
3495,Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,1.0,65.0,625.483498,0.0,2258.793954
3496,SUV,Basic,Offer4,Employed,Married,College,2.0,117.0,561.6,67627.0,14002.37819
3497,Four-Door Car,Basic,Offer1,Medical Leave,Divorced,College,2.0,68.0,326.4,21708.0,17930.60451
3498,Two-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,2.0,96.0,844.481918,0.0,23706.11337
3499,Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,1.0,74.0,355.2,37803.0,2914.955295
3500,Two-Door Car,Basic,Offer3,Disabled,Married,Bachelor,1.0,71.0,34.651305,19003.0,2612.756658
3501,Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,3.0,62.0,722.432062,0.0,4422.409799
3502,Luxury SUV,Basic,Offer3,Employed,Married,College,1.0,199.0,35.768916,77577.0,7910.866718
3503,Two-Door Car,Extended,Offer3,Employed,Single,College,5.0,98.0,243.292609,62192.0,7684.887717
3505,Four-Door Car,Extended,Offer3,Employed,Married,High School or Below,2.0,86.0,58.469264,55906.0,10346.11154
3506,SUV,Premium,Offer1,Employed,Married,Bachelor,2.0,140.0,65.022258,59414.0,16589.71237
3507,Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,67.0,24.843535,73692.0,24338.51185
3508,Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,69.0,330.782934,45191.0,2745.249838
3509,Four-Door Car,Basic,Offer2,Unemployed,Divorced,High School or Below,2.0,67.0,445.702958,0.0,7633.821822
3510,Two-Door Car,Basic,Offer4,Employed,Married,College,7.0,65.0,206.01822,61417.0,5143.878519
3511,Two-Door Car,Basic,Offer1,Employed,Single,College,1.0,72.0,345.6,39783.0,2794.907476
3513,Four-Door Car,Premium,Offer2,Employed,Divorced,Master,1.0,106.0,688.547375,51510.0,4200.373728
3514,Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,1.0,63.0,302.4,29444.0,2480.529264
3515,Four-Door Car,Basic,Offer1,Employed,Single,College,6.0,71.0,430.163277,51737.0,5598.00838
3516,Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,1.0,62.0,244.212286,93383.0,2480.045899
3517,Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,5.0,68.0,234.393625,74561.0,5427.484591
3518,Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,65.0,468.0,0.0,6220.765007
3519,Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,65.0,45.152521,32303.0,7694.064293
3520,Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,1.0,73.0,350.4,0.0,2585.444463
3521,Two-Door Car,Premium,Offer1,Unemployed,Married,Bachelor,6.0,110.0,550.825934,0.0,8087.219475
3522,Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,1.0,98.0,470.4,42589.0,3848.483648
3523,Four-Door Car,Basic,Offer2,Medical Leave,Married,Bachelor,1.0,73.0,34.708194,13393.0,2869.301319
3525,Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,2.0,61.0,16.214764,35230.0,9638.066778
3526,Two-Door Car,Basic,Offer4,Medical Leave,Married,High School or Below,2.0,70.0,336.0,20978.0,13569.24071
3527,SUV,Basic,Offer1,Unemployed,Married,High School or Below,8.0,113.0,619.973889,0.0,8470.036773
3528,Four-Door Car,Premium,Offer1,Employed,Married,College,2.0,104.0,240.176533,88184.0,12174.58958
3529,SUV,Basic,Offer2,Employed,Married,College,1.0,114.0,183.978738,63597.0,4425.749642
3530,Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,4.0,68.0,326.4,43054.0,5418.463878
3531,Sports Car,Extended,Offer1,Unemployed,Single,High School or Below,2.0,130.0,1430.548077,0.0,13104.14911
3532,Two-Door Car,Basic,Offer3,Employed,Divorced,High School or Below,2.0,72.0,151.843731,97768.0,8692.636838
3534,Sports Car,Extended,Offer1,Employed,Married,Bachelor,5.0,139.0,387.222556,69090.0,11085.87709
3535,Two-Door Car,Extended,Offer2,Unemployed,Married,College,8.0,86.0,412.8,0.0,6032.737631
3536,Four-Door Car,Extended,Offer2,Employed,Divorced,High School or Below,8.0,93.0,377.422029,98235.0,7446.812516
3537,Four-Door Car,Extended,Offer1,Employed,Married,College,1.0,85.0,541.093963,52782.0,3259.885006
3538,Four-Door Car,Extended,Offer1,Unemployed,Single,College,9.0,77.0,369.6,0.0,5521.542577
3539,SUV,Extended,Offer2,Employed,Married,Doctor,3.0,133.0,229.930796,36495.0,10629.21789
3540,Two-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,67.0,482.4,0.0,2414.770722
3541,Two-Door Car,Basic,Offer3,Employed,Married,Bachelor,1.0,65.0,312.0,27839.0,2363.295991
3542,Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,8.0,68.0,42.078345,70051.0,5395.831967
3543,SUV,Extended,Offer2,Employed,Married,Bachelor,8.0,124.0,257.502471,32245.0,9800.33636
3544,SUV,Extended,Offer1,Unemployed,Married,College,7.0,124.0,473.469932,0.0,8728.456239
3545,Four-Door Car,Basic,Offer1,Employed,Married,College,9.0,72.0,171.166733,55419.0,5838.133617
3546,Four-Door Car,Extended,Offer3,Unemployed,Divorced,High School or Below,3.0,87.0,417.6,0.0,6326.679236
3547,Two-Door Car,Basic,Offer1,Employed,Single,Doctor,3.0,64.0,380.917107,77025.0,5104.354719
3548,Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,6.0,61.0,47.53101,37057.0,4719.762191
3549,Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,66.0,316.8,60798.0,2609.533154
3550,Four-Door Car,Extended,Offer3,Unemployed,Single,College,1.0,82.0,590.4,0.0,2938.07856
3551,Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,77.0,369.6,65083.0,3059.282091
3552,Four-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1.0,73.0,350.4,0.0,2710.149379
3553,SUV,Basic,Offer1,Employed,Married,College,2.0,102.0,123.491865,33760.0,11944.40399
3554,Two-Door Car,Basic,Offer1,Unemployed,Divorced,College,2.0,67.0,321.6,0.0,7296.493236
3555,Four-Door Car,Basic,Offer3,Employed,Divorced,College,7.0,71.0,340.8,35398.0,5563.771927
3556,Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,9.0,71.0,373.047039,96917.0,5736.45893
3557,SUV,Basic,Offer2,Employed,Married,High School or Below,2.0,100.0,635.020091,31433.0,32021.40422
3558,Four-Door Car,Extended,Offer2,Employed,Divorced,College,1.0,91.0,655.2,28013.0,3591.996064
3559,Four-Door Car,Extended,Offer4,Employed,Single,High School or Below,3.0,99.0,240.977382,70610.0,7950.570995
3560,Two-Door Car,Extended,Offer2,Unemployed,Married,High School or Below,2.0,95.0,579.452318,0.0,10377.36842
3561,Four-Door Car,Basic,Offer1,Medical Leave,Married,Bachelor,7.0,61.0,292.8,16764.0,4617.391775
3562,SUV,Basic,Offer2,Employed,Married,Bachelor,1.0,118.0,134.801691,83413.0,4743.694528
3563,Four-Door Car,Basic,Offer1,Unemployed,Married,College,7.0,70.0,336.0,0.0,5181.054467
3564,Two-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,1.0,61.0,292.8,82225.0,2446.664534
